"catalog_id","japanese_name","english_name","scientific_name","taxon_group","min_depth_m","max_depth_m","depth_evidence_note","size_note","gameplay_visual_note","primary_source_url","taxonomy_source_url","image_reference_url","image_rights_note","source_checked_date"
"F001","フクロウナギ","Pelican eel","Eurypharynx pelecanoides","Teleostei; Saccopharyngiformes; Eurypharyngidae","500","7625","FishBase: bathypelagic; reported depth range 500-7625 m.","Maximum 100 cm TL reported in FishBase.","Greatly distensible mouth; extremely attenuated tail ending in luminous organ; scaleless eel-like body.","https://www.fishbase.se/summary/Eurypharynx-pelecanoides.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Eurypharynx+pelecanoides","https://www.fishbase.se/summary/Eurypharynx-pelecanoides.html","reference-only; rights verification required","2026-08-06"
"F002","","Stout sawpalate","Serrivomer beanii","Teleostei; Anguilliformes; Serrivomeridae","0","6000","FishBase: bathypelagic; reported depth range 0-6000 m.","Maximum 78 cm TL reported in FishBase.","Beak-like snout; brown-black to silvery elongate eel body.","https://www.fishbase.se/summary/Serrivomer-beanii.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Serrivomer+beanii","https://www.fishbase.se/summary/Serrivomer-beanii.html","reference-only; rights verification required","2026-08-06"
"F003","","Slender snipe eel","Nemichthys scolopaceus","Teleostei; Anguilliformes; Nemichthyidae","0","4337","FishBase: bathypelagic; reported depth range 0-4337 m.","Maximum 130 cm TL reported in FishBase.","Long bill-like jaws; narrow body ending in long filament; dark brown-gray.","https://www.fishbase.se/summary/Nemichthys-scolopaceus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Nemichthys+scolopaceus","https://www.fishbase.se/summary/Nemichthys-scolopaceus.html","reference-only; rights verification required","2026-08-06"
"F004","","Kaup's arrowtooth eel","Synaphobranchus kaupii","Teleostei; Anguilliformes; Synaphobranchidae","120","4800","FishBase: bathydemersal; reported depth range 120-4800 m.","Maximum length reported in FishBase; see source page.","Elongate eel-like body; arrow-tooth mouth; use real reference page for fin pattern.","https://www.fishbase.se/summary/Synaphobranchus-kaupii.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Synaphobranchus+kaupii","https://www.fishbase.se/summary/Synaphobranchus-kaupii.html","reference-only; rights verification required","2026-08-06"
"F005","","Snubnosed eel","Simenchelys parasitica","Teleostei; Anguilliformes; Synaphobranchidae","100","3000","FishBase: bathydemersal; reported depth range 100-3000 m.","Maximum 61 cm TL reported in FishBase.","Thick blunt cylindrical head; small slit-like mouth with plicate lips; gray-brown eel body.","https://www.fishbase.se/summary/Simenchelys-parasitica.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Simenchelys+parasitica","https://www.fishbase.se/summary/Simenchelys-parasitica.html","reference-only; rights verification required","2026-08-06"
"F006","","Snubnosed spiny eel","Notacanthus chemnitzii","Teleostei; Notacanthiformes; Notacanthidae","125","3285","FishBase: benthopelagic; reported depth range 125-3285 m.","Maximum 120 cm TL reported in FishBase.","Long eel-like body with dorsal spines; snub nose; real reference page controls markings.","https://www.fishbase.se/summary/Notacanthus-chemnitzii.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Notacanthus+chemnitzii","https://www.fishbase.se/summary/Notacanthus-chemnitzii.html","reference-only; rights verification required","2026-08-06"
"F007","","Black swallower","Chiasmodon niger","Teleostei; Scombriformes; Chiasmodontidae","700","2745","FishBase: pelagic-oceanic; reported depth range 700-2745 m.","Maximum 25 cm SL reported in FishBase.","Black body; oversized distensible stomach profile after prey capture; large mouth.","https://www.fishbase.se/summary/Chiasmodon-niger.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Chiasmodon+niger","https://www.fishbase.se/summary/Chiasmodon-niger.html","reference-only; rights verification required","2026-08-06"
"F008","ミズウオ","Long snouted lancetfish","Alepisaurus ferox","Teleostei; Aulopiformes; Alepisauridae","0","1830","FishBase: bathypelagic; reported depth range 0-1830 m.","Maximum 215 cm TL reported in FishBase.","Very long scaleless body; tall sail-like dorsal fin; long snout.","https://www.fishbase.se/summary/Alepisaurus-ferox.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Alepisaurus+ferox","https://www.fishbase.se/summary/Alepisaurus-ferox.html","reference-only; rights verification required","2026-08-06"
"F009","","Omosudid","Omosudis lowii","Teleostei; Aulopiformes; Omosudidae","0","4000","FishBase: bathypelagic; reported depth range 0-4000 m.","Maximum 23 cm SL reported in FishBase.","Slender hammerjaw-like head profile; silvery sides with dark peritoneum visible.","https://www.fishbase.se/summary/Omosudis-lowii.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Omosudis+lowii","https://www.fishbase.se/summary/Omosudis-lowii.html","reference-only; rights verification required","2026-08-06"
"F010","","Highfin lizardfish","Bathysaurus mollis","Teleostei; Aulopiformes; Bathysauridae","1550","4903","FishBase: bathydemersal; reported depth range 1550-4903 m.","Maximum 78 cm SL reported in FishBase.","Moderately elongate pale lizardfish; high dorsal fin; dark mouth and gill regions.","https://www.fishbase.se/summary/Bathysaurus-mollis.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Bathysaurus+mollis","https://www.fishbase.se/summary/Bathysaurus-mollis.html","reference-only; rights verification required","2026-08-06"
"F011","","Balbo sabretooth","Evermannella balbo","Teleostei; Aulopiformes; Evermannellidae","100","1000","FishBase: bathypelagic; reported depth range 100-1000 m.","Maximum 16.9 cm SL reported in FishBase.","Elongate sabretooth profile; brown body with dense melanophores.","https://www.fishbase.se/summary/Evermannella-balbo.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Evermannella+balbo","https://www.fishbase.se/summary/Evermannella-balbo.html","reference-only; rights verification required","2026-08-06"
"F012","オオイトヒキイワシ","Tripodfish","Bathypterois grallator","Teleostei; Aulopiformes; Ipnopidae","878","4720","FishBase: bathydemersal; reported depth range 878-4720 m.","Maximum 43.4 cm TL reported in FishBase.","Three extremely elongated pelvic and caudal fin rays used to perch above sediment.","https://www.fishbase.se/summary/Bathypterois-grallator.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Bathypterois+grallator","https://marinespecies.org/photogallery.php?album=737&pic=124662","reference-only; rights verification required","2026-08-06"
"F013","","Common fangtooth","Anoplogaster cornuta","Teleostei; Trachichthyiformes; Anoplogastridae","2","4992","FishBase: bathypelagic; reported depth range 2-4992 m.","Maximum 18 cm TL reported in FishBase.","Compact dark body; disproportionately huge fang-like teeth and large head.","https://www.fishbase.se/summary/Anoplogaster-cornuta.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Anoplogaster+cornuta","https://www.fishbase.se/summary/Anoplogaster-cornuta.html","reference-only; rights verification required","2026-08-06"
"F014","","Sloane's viperfish","Chauliodus sloani","Teleostei; Stomiiformes; Stomiidae","200","4700","FishBase: bathypelagic; reported depth range 200-4700 m.","Maximum 35 cm SL reported in FishBase.","Long slender dark body; very large recurved fangs; serial photophores.","https://www.fishbase.se/summary/Chauliodus-sloani.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Chauliodus+sloani","https://www.fishbase.se/summary/Chauliodus-sloani.html","reference-only; rights verification required","2026-08-06"
"F015","","Stoplight loosejaw","Malacosteus niger","Teleostei; Stomiiformes; Stomiidae","500","3886","FishBase: bathypelagic; reported depth range 500-3886 m.","Maximum 25.6 cm TL reported in FishBase.","Elongate black loosejaw; large gape; clustered photophores.","https://www.fishbase.se/summary/Malacosteus-niger.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Malacosteus+niger","https://www.fishbase.se/summary/Malacosteus-niger.html","reference-only; rights verification required","2026-08-06"
"F016","","Black dragonfish","Idiacanthus atlanticus","Teleostei; Stomiiformes; Stomiidae","1239","2000","FishBase: bathypelagic; reported depth range 1239-2000 m.","Maximum length reported in FishBase; see source page.","Slim black body; long chin barbel and large teeth; strongly sex-dimorphic size.","https://www.fishbase.se/summary/Idiacanthus-atlanticus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Idiacanthus+atlanticus","https://www.fishbase.se/summary/Idiacanthus-atlanticus.html","reference-only; rights verification required","2026-08-06"
"F017","","Snaggletooth","Borostomias antarcticus","Teleostei; Stomiiformes; Stomiidae","300","2630","FishBase: bathydemersal; reported depth range 300-2630 m.","Maximum 30 cm SL reported in FishBase.","Black elongate body; sharp irregular teeth; photophore pattern.","https://www.fishbase.se/summary/Borostomias-antarcticus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Borostomias+antarcticus","https://www.fishbase.se/summary/Borostomias-antarcticus.html","reference-only; rights verification required","2026-08-06"
"F018","","Elongated bristlemouth fish","Sigmops elongatus","Teleostei; Stomiiformes; Gonostomatidae","25","4740","FishBase: bathypelagic; reported depth range 25-4740 m.","Maximum length reported in FishBase; see source page.","Small elongate brown-black bristlemouth; dense photophores.","https://www.fishbase.se/summary/Sigmops-elongatus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Sigmops+elongatus","https://www.fishbase.se/summary/Sigmops-elongatus.html","reference-only; rights verification required","2026-08-06"
"F019","","Veiled anglemouth","Cyclothone microdon","Teleostei; Stomiiformes; Gonostomatidae","200","5301","FishBase: bathypelagic; reported depth range 200-5301 m.","Maximum 7.6 cm TL reported in FishBase.","Tiny dark elongated body; small mouth; photophore dots.","https://www.fishbase.se/summary/Cyclothone-microdon.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Cyclothone+microdon","https://www.fishbase.se/summary/Cyclothone-microdon.html","reference-only; rights verification required","2026-08-06"
"F020","","Tan bristlemouth","Cyclothone pallida","Teleostei; Stomiiformes; Gonostomatidae","16","4663","FishBase: bathypelagic; reported depth range 16-4663 m.","Maximum 7.5 cm SL reported in FishBase for females.","Tiny brown body; darkened fin rays and head pigment; photophores.","https://www.fishbase.se/summary/Cyclothone-pallida.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Cyclothone+pallida","https://www.fishbase.se/summary/Cyclothone-pallida.html","reference-only; rights verification required","2026-08-06"
"F021","","Lovely hatchetfish","Argyropelecus aculeatus","Teleostei; Stomiiformes; Sternoptychidae","100","2056","FishBase: bathypelagic; reported depth range 100-2056 m.","Maximum 8.3 cm SL reported in FishBase.","Deep laterally compressed hatchet-shaped silver body; downward and outward opercular spine.","https://www.fishbase.se/summary/Argyropelecus-aculeatus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Argyropelecus+aculeatus","https://www.fishbase.se/summary/Argyropelecus-aculeatus.html","reference-only; rights verification required","2026-08-06"
"F022","","Silvery lightfish","Maurolicus muelleri","Teleostei; Stomiiformes; Sternoptychidae","271","1524","FishBase: bathypelagic; reported depth range 271-1524 m.","Maximum 8 cm TL reported in FishBase.","Small silvery laterally compressed body with ventral photophores.","https://www.fishbase.se/summary/Maurolicus-muelleri.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Maurolicus+muelleri","https://www.fishbase.se/summary/Maurolicus-muelleri.html","reference-only; rights verification required","2026-08-06"
"F023","","Jewel lanternfish","Lampanyctus crocodilus","Teleostei; Myctophiformes; Myctophidae","0","1200","FishBase: bathypelagic; reported depth range 0-1200 m.","Maximum 30 cm SL reported in FishBase.","Elongate lanternfish; patterned photophores and short pectoral fins.","https://www.fishbase.se/summary/Lampanyctus-crocodilus.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Lampanyctus+crocdilus","https://www.fishbase.se/summary/Lampanyctus-crocodilus.html","reference-only; rights verification required","2026-08-06"
"F024","","Spotted lanternfish","Myctophum punctatum","Teleostei; Myctophiformes; Myctophidae","0","1000","FishBase: bathypelagic; reported depth range 0-1000 m.","Maximum 11 cm SL reported in FishBase.","Elongate lanternfish; spotted and phosphorescent body pattern.","https://www.fishbase.se/summary/Myctophum-punctatum.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Myctophum+punctatum","https://www.fishbase.se/summary/Myctophum-punctatum.html","reference-only; rights verification required","2026-08-06"
"F025","","Antarctic lanternfish","Electrona antarctica","Teleostei; Myctophiformes; Myctophidae","1","1010","FishBase: demersal; reported depth range 1-1010 m.","Maximum 11.5 cm SL reported in FishBase.","Small Antarctic lanternfish; laterally compressed body with photophores.","https://www.fishbase.se/summary/Electrona-antarctica.html","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Electrona+antarctica","https://www.fishbase.se/summary/Electrona-antarctica.html","reference-only; rights verification required","2026-08-06"
"F026","","Barreleye","Macropinna microstoma","Teleostei; Argentiniformes; Opisthoproctidae","16","1267","MBARI: observed midwater at 600-800 m; FishBase reports 16-1267 m.","Maximum 15 cm TL reported in FishBase.","Transparent dome over head; green tubular eyes that rotate forward and upward.","https://www.mbari.org/animal/barreleye-fish/","https://www.marinespecies.org/aphia.php?p=taxlist&tName=Macropinna+microstoma","https://www.mbari.org/animal/barreleye-fish/","reference-only; rights verification required","2026-08-06"
